Name,ENVIRON_DISCLOSURE_SCORE,Company name
DLR UN,#N/A N/A,Digital Realty Trust Inc
DLTR UW,#N/A N/A,Dollar Tree Inc
DOV UN,#N/A N/A,Dover Corp
DOW UN,#N/A N/A,Dow Inc
DPZ UN,#N/A N/A,Domino's Pizza Inc
DRE UN,#N/A N/A,Duke Realty Corp
DRI UN,17.70833333,Darden Restaurants Inc
DTE UN,#N/A N/A,DTE Energy Co
DUK UN,#N/A N/A,Duke Energy Corp
DVA UN,#N/A N/A,DaVita Inc
DVN UN,#N/A N/A,Devon Energy Corp
DXC UN,51.1627907,DXC Technology Co
DXCM UW,#N/A N/A,DexCom Inc
EA UW,#N/A N/A,Electronic Arts Inc
EBAY UW,#N/A N/A,eBay Inc
ECL UN,#N/A N/A,Ecolab Inc
ED UN,#N/A N/A,Consolidated Edison Inc
EFX UN,#N/A N/A,Equifax Inc
EIX UN,37.24137931,Edison International
EL UN,48.8372093,Estee Lauder Cos Inc/The
EMN UN,#N/A N/A,Eastman Chemical Co
EMR UN,27.90697674,Emerson Electric Co
EOG UN,#N/A N/A,EOG Resources Inc
EQIX UW,#N/A N/A,Equinix Inc
EQR UN,#N/A N/A,Equity Residential
ES UN,#N/A N/A,Eversource Energy
ESS UN,#N/A N/A,Essex Property Trust Inc
ETFC UW,#N/A N/A,E*TRADE Financial Corp
ETN UN,#N/A N/A,Eaton Corp PLC
ETR UN,#N/A N/A,Entergy Corp
EVRG UN,#N/A N/A,Evergy Inc
EW UN,#N/A N/A,Edwards Lifesciences Corp
EXC UW,#N/A N/A,Exelon Corp
EXPD UW,#N/A N/A,Expeditors International of Washington Inc
EXPE UW,#N/A N/A,Expedia Group Inc
EXR UN,#N/A N/A,Extra Space Storage Inc
F UN,#N/A N/A,Ford Motor Co
FANG UW,#N/A N/A,Diamondback Energy Inc
FAST UW,#N/A N/A,Fastenal Co
FB UW,#N/A N/A,Facebook Inc
FBHS UN,#N/A N/A,Fortune Brands Home & Security Inc
FCX UN,51.1627907,Freeport-McMoRan Inc
FDX UN,73.64341085,FedEx Corp
FE UN,#N/A N/A,FirstEnergy Corp
FFIV UW,#N/A N/A,F5 Networks Inc
FIS UN,#N/A N/A,Fidelity National Information Services Inc
FISV UW,3.875968992,Fiserv Inc
FITB UW,#N/A N/A,Fifth Third Bancorp
FLIR UW,6.976744186,FLIR Systems Inc
FLS UN,#N/A N/A,Flowserve Corp
FLT UN,#N/A N/A,FleetCor Technologies Inc
FMC UN,#N/A N/A,FMC Corp
FOX UW,#N/A N/A,Fox Corp
FOXA UW,#N/A N/A,Fox Corp
FRC UN,#N/A N/A,First Republic Bank/CA
FRT UN,#N/A N/A,Federal Realty Investment Trust
FTI UN,2.325581395,TechnipFMC PLC
FTNT UW,#N/A N/A,Fortinet Inc
FTV UN,#N/A N/A,Fortive Corp
GD UN,#N/A N/A,General Dynamics Corp
GE UN,#N/A N/A,General Electric Co
GILD UW,#N/A N/A,Gilead Sciences Inc
GIS UN,#N/A N/A,General Mills Inc
GL UN,#N/A N/A,Globe Life Inc
GLW UN,13.95348837,Corning Inc
GM UN,#N/A N/A,General Motors Co
GOOG UW,#N/A N/A,Alphabet Inc
GOOGL UW,#N/A N/A,Alphabet Inc
GPC UN,#N/A N/A,Genuine Parts Co
GPN UN,#N/A N/A,Global Payments Inc
GPS UN,#N/A N/A,Gap Inc/The
GRMN UW,15.50387597,Garmin Ltd
GS UN,#N/A N/A,Goldman Sachs Group Inc/The
GWW UN,#N/A N/A,WW Grainger Inc
HAL UN,43.41085271,Halliburton Co
HAS UW,#N/A N/A,Hasbro Inc
HBAN UW,#N/A N/A,Huntington Bancshares Inc/OH
HBI UN,#N/A N/A,Hanesbrands Inc
HCA UN,#N/A N/A,HCA Healthcare Inc
HD UN,#N/A N/A,Home Depot Inc/The
HES UN,#N/A N/A,Hess Corp
HFC UN,44.96124031,HollyFrontier Corp
HIG UN,#N/A N/A,Hartford Financial Services Group Inc/The
HII UN,#N/A N/A,Huntington Ingalls Industries Inc
HLT UN,#N/A N/A,Hilton Worldwide Holdings Inc
HOG UN,#N/A N/A,Harley-Davidson Inc
HOLX UW,9.302325581,Hologic Inc
HON UN,#N/A N/A,Honeywell International Inc
HPE UN,#N/A N/A,Hewlett Packard Enterprise Co
HPQ UN,#N/A N/A,HP Inc
HRB UN,#N/A N/A,H&R Block Inc
HRL UN,#N/A N/A,Hormel Foods Corp
HSIC UW,#N/A N/A,Henry Schein Inc
HST UN,#N/A N/A,Host Hotels & Resorts Inc
HSY UN,50.3875969,Hershey Co/The
HUM UN,#N/A N/A,Humana Inc
HWM UN,#N/A N/A,Howmet Aerospace Inc
IBM UN,#N/A N/A,International Business Machines Corp
ICE UN,#N/A N/A,Intercontinental Exchange Inc
IDXX UW,#N/A N/A,IDEXX Laboratories Inc
IEX UN,#N/A N/A,IDEX Corp
IFF UN,#N/A N/A,International Flavors & Fragrances Inc
ILMN UW,#N/A N/A,Illumina Inc
INCY UW,#N/A N/A,Incyte Corp
INFO UN,#N/A N/A,IHS Markit Ltd
INTC UW,62.79069767,Intel Corp
INTU UW,16.27906977,Intuit Inc
IP UN,#N/A N/A,International Paper Co
IPG UN,15.50387597,Interpublic Group of Cos Inc/The
IPGP UW,1.550387597,IPG Photonics Corp
IQV UN,#N/A N/A,IQVIA Holdings Inc
IR UN,1.550387597,Ingersoll Rand Inc
IRM UN,34.88372093,Iron Mountain Inc
ISRG UW,#N/A N/A,Intuitive Surgical Inc
IT UN,#N/A N/A,Gartner Inc
ITW UN,#N/A N/A,Illinois Tool Works Inc
IVZ UN,#N/A N/A,Invesco Ltd
J UN,17.05426357,Jacobs Engineering Group Inc
JBHT UW,6.201550388,JB Hunt Transport Services Inc
JCI UN,68.99224806,Johnson Controls International plc
JKHY UW,#N/A N/A,Jack Henry & Associates Inc
JNJ UN,#N/A N/A,Johnson & Johnson
JNPR UN,#N/A N/A,Juniper Networks Inc
JPM UN,36.60714286,JPMorgan Chase & Co
JWN UN,#N/A N/A,Nordstrom Inc
K UN,#N/A N/A,Kellogg Co
KEY UN,27.67857143,KeyCorp
KEYS UN,48.8372093,Keysight Technologies Inc
KHC UW,#N/A N/A,Kraft Heinz Co/The
KIM UN,#N/A N/A,Kimco Realty Corp
KLAC UW,13.95348837,KLA Corp
KMB UN,#N/A N/A,Kimberly-Clark Corp
KMI UN,#N/A N/A,Kinder Morgan Inc
KMX UN,#N/A N/A,CarMax Inc
KO UN,#N/A N/A,Coca-Cola Co/The
KR UN,#N/A N/A,Kroger Co/The
KSS UN,#N/A N/A,Kohl's Corp
KSU UN,#N/A N/A,Kansas City Southern
L UN,#N/A N/A,Loews Corp
LB UN,#N/A N/A,L Brands Inc
LDOS UN,#N/A N/A,Leidos Holdings Inc
LEG UN,9.302325581,Leggett & Platt Inc
LEN UN,#N/A N/A,Lennar Corp
LH UN,#N/A N/A,Laboratory Corp of America Holdings
LHX UN,12.40310078,L3Harris Technologies Inc
LIN UN,#N/A N/A,Linde PLC
LKQ UW,3.875968992,LKQ Corp
LLY UN,#N/A N/A,Eli Lilly and Co
LMT UN,#N/A N/A,Lockheed Martin Corp
LNC UN,#N/A N/A,Lincoln National Corp
LNT UW,#N/A N/A,Alliant Energy Corp
LOW UN,#N/A N/A,Lowe's Cos Inc
LRCX UW,#N/A N/A,Lam Research Corp
LUV UN,#N/A N/A,Southwest Airlines Co
LVS UN,#N/A N/A,Las Vegas Sands Corp
LW UN,5.426356589,Lamb Weston Holdings Inc
LYB UN,#N/A N/A,LyondellBasell Industries NV
LYV UN,1.550387597,Live Nation Entertainment Inc
MA UN,#N/A N/A,Mastercard Inc
MAA UN,#N/A N/A,Mid-America Apartment Communities Inc
MAR UW,#N/A N/A,Marriott International Inc/MD
MAS UN,#N/A N/A,Masco Corp
MCD UN,#N/A N/A,McDonald's Corp
MCHP UW,17.05426357,Microchip Technology Inc
MCK UN,#N/A N/A,McKesson Corp
MCO UN,35.65891473,Moody's Corp
MDLZ UW,#N/A N/A,Mondelez International Inc
MDT UN,24.03100775,Medtronic PLC
MET UN,#N/A N/A,MetLife Inc
MGM UN,#N/A N/A,MGM Resorts International
MHK UN,#N/A N/A,Mohawk Industries Inc
MKC UN,#N/A N/A,McCormick & Co Inc/MD
MKTX UW,#N/A N/A,MarketAxess Holdings Inc
MLM UN,#N/A N/A,Martin Marietta Materials Inc
MMC UN,#N/A N/A,Marsh & McLennan Cos Inc
MMM UN,55.81395349,3M Co
MNST UW,10.85271318,Monster Beverage Corp
MO UN,#N/A N/A,Altria Group Inc
MOS UN,#N/A N/A,Mosaic Co/The
MPC UN,#N/A N/A,Marathon Petroleum Corp
MRK UN,#N/A N/A,Merck & Co Inc
MRO UN,#N/A N/A,Marathon Oil Corp
MS UN,#N/A N/A,Morgan Stanley
MSCI UN,#N/A N/A,MSCI Inc
MSFT UW,#N/A N/A,Microsoft Corp
MSI UN,#N/A N/A,Motorola Solutions Inc
MTB UN,#N/A N/A,M&T Bank Corp
MTD UN,46.51162791,Mettler-Toledo International Inc
MU UW,#N/A N/A,Micron Technology Inc
MXIM UW,13.95348837,Maxim Integrated Products Inc
MYL UW,36.43410853,Mylan NV
NBL UW,#N/A N/A,Noble Energy Inc
NCLH UN,#N/A N/A,Norwegian Cruise Line Holdings Ltd
NDAQ UW,#N/A N/A,Nasdaq Inc
NEE UN,#N/A N/A,NextEra Energy Inc
NEM UN,63.56589147,Newmont Corp
NFLX UW,8.527131783,Netflix Inc
NI UN,#N/A N/A,NiSource Inc
NKE UN,#N/A N/A,NIKE Inc
NLOK UW,37.20930233,NortonLifeLock Inc
NLSN UN,48.0620155,Nielsen Holdings PLC
NOC UN,#N/A N/A,Northrop Grumman Corp
NOV UN,#N/A N/A,National Oilwell Varco Inc
NOW UN,#N/A N/A,ServiceNow Inc
NRG UN,27.13178295,NRG Energy Inc
NSC UN,#N/A N/A,Norfolk Southern Corp
NTAP UW,#N/A N/A,NetApp Inc
NTRS UW,#N/A N/A,Northern Trust Corp
NUE UN,#N/A N/A,Nucor Corp
NVDA UW,#N/A N/A,NVIDIA Corp
NVR UN,#N/A N/A,NVR Inc
NWL UW,13.95348837,Newell Brands Inc
NWS UW,#N/A N/A,News Corp
NWSA UW,#N/A N/A,News Corp
O UN,6.201550388,Realty Income Corp
ODFL UW,10.07751938,Old Dominion Freight Line Inc
OKE UN,#N/A N/A,ONEOK Inc
OMC UN,#N/A N/A,Omnicom Group Inc
ORCL UN,#N/A N/A,Oracle Corp
ORLY UW,5.426356589,O'Reilly Automotive Inc
OTIS UN,#N/A N/A,Otis Worldwide Corp
OXY UN,#N/A N/A,Occidental Petroleum Corp
PAYC UN,#N/A N/A,Paycom Software Inc
PAYX UW,2.325581395,Paychex Inc
PBCT UW,#N/A N/A,People's United Financial Inc
PCAR UW,#N/A N/A,PACCAR Inc
PEAK UN,#N/A N/A,Healthpeak Properties Inc
PEG UN,#N/A N/A,Public Service Enterprise Group Inc
PEP UW,#N/A N/A,PepsiCo Inc
PFE UN,#N/A N/A,Pfizer Inc
PFG UW,#N/A N/A,Principal Financial Group Inc
PG UN,52.71317829,Procter & Gamble Co/The
PGR UN,#N/A N/A,Progressive Corp/The
PH UN,#N/A N/A,Parker-Hannifin Corp
PHM UN,#N/A N/A,PulteGroup Inc
PKG UN,#N/A N/A,Packaging Corp of America
PKI UN,#N/A N/A,PerkinElmer Inc
PLD UN,#N/A N/A,Prologis Inc
PM UN,#N/A N/A,Philip Morris International Inc
PNC UN,#N/A N/A,PNC Financial Services Group Inc/The
PNR UN,#N/A N/A,Pentair PLC
PNW UN,#N/A N/A,Pinnacle West Capital Corp
PPG UN,#N/A N/A,PPG Industries Inc
PPL UN,47.5862069,PPL Corp
PRGO UN,#N/A N/A,Perrigo Co PLC
PRU UN,#N/A N/A,Prudential Financial Inc
PSA UN,#N/A N/A,Public Storage
PSX UN,37.98449612,Phillips 66
PVH UN,#N/A N/A,PVH Corp
PWR UN,#N/A N/A,Quanta Services Inc
PXD UN,#N/A N/A,Pioneer Natural Resources Co
PYPL UW,27.90697674,PayPal Holdings Inc
QCOM UW,44.96124031,QUALCOMM Inc
QRVO UW,#N/A N/A,Qorvo Inc
RCL UN,#N/A N/A,Royal Caribbean Cruises Ltd
RE UN,21.42857143,Everest Re Group Ltd
REG UW,#N/A N/A,Regency Centers Corp
REGN UW,#N/A N/A,Regeneron Pharmaceuticals Inc
RF UN,#N/A N/A,Regions Financial Corp
RHI UN,#N/A N/A,Robert Half International Inc
RJF UN,2.678571429,Raymond James Financial Inc
RL UN,#N/A N/A,Ralph Lauren Corp
RMD UN,#N/A N/A,ResMed Inc
ROK UN,#N/A N/A,Rockwell Automation Inc
ROL UN,#N/A N/A,Rollins Inc
ROP UN,10.85271318,Roper Technologies Inc
ROST UW,#N/A N/A,Ross Stores Inc
RSG UN,#N/A N/A,Republic Services Inc
RTX UN,19.37984496,Raytheon Technologies Corp
SBAC UW,#N/A N/A,SBA Communications Corp
SBUX UW,#N/A N/A,Starbucks Corp
SCHW UN,#N/A N/A,Charles Schwab Corp/The
SEE UN,#N/A N/A,Sealed Air Corp
SHW UN,#N/A N/A,Sherwin-Williams Co/The
SIVB UW,8.035714286,SVB Financial Group
SJM UN,#N/A N/A,J M Smucker Co/The
SLB UN,#N/A N/A,Schlumberger Ltd
SLG UN,#N/A N/A,SL Green Realty Corp
SNA UN,14.72868217,Snap-on Inc
SNPS UW,12.40310078,Synopsys Inc
SO UN,#N/A N/A,Southern Co/The
SPG UN,#N/A N/A,Simon Property Group Inc
SPGI UN,#N/A N/A,S&P Global Inc
SRE UN,46.20689655,Sempra Energy
STE UN,20.15503876,STERIS PLC
STT UN,57.14285714,State Street Corp
STX UW,36.43410853,Seagate Technology PLC
STZ UN,#N/A N/A,Constellation Brands Inc
SWK UN,13.95348837,Stanley Black & Decker Inc
SWKS UW,#N/A N/A,Skyworks Solutions Inc
SYF UN,#N/A N/A,Synchrony Financial
SYK UN,#N/A N/A,Stryker Corp
SYY UN,16.27906977,Sysco Corp
T UN,#N/A N/A,AT&T Inc
TAP UN,#N/A N/A,Molson Coors Beverage Co
TDG UN,1.550387597,TransDigm Group Inc
TEL UN,#N/A N/A,TE Connectivity Ltd
TFC UN,#N/A N/A,Truist Financial Corp
TFX UN,#N/A N/A,Teleflex Inc
TGT UN,#N/A N/A,Target Corp
TIF UN,#N/A N/A,Tiffany & Co
TJX UN,#N/A N/A,TJX Cos Inc/The
TMO UN,#N/A N/A,Thermo Fisher Scientific Inc
TMUS UW,#N/A N/A,T-Mobile US Inc
TPR UN,#N/A N/A,Tapestry Inc
TROW UW,#N/A N/A,T Rowe Price Group Inc
TRV UN,#N/A N/A,Travelers Cos Inc/The
TSCO UW,#N/A N/A,Tractor Supply Co
TSN UN,#N/A N/A,Tyson Foods Inc
TT UN,#N/A N/A,Trane Technologies PLC
TTWO UW,#N/A N/A,Take-Two Interactive Software Inc
TWTR UN,#N/A N/A,Twitter Inc
TXN UW,#N/A N/A,Texas Instruments Inc
TXT UN,#N/A N/A,Textron Inc
UA UN,18.75,Under Armour Inc
UAA UN,18.75,Under Armour Inc
UAL UW,#N/A N/A,United Airlines Holdings Inc
UDR UN,#N/A N/A,UDR Inc
UHS UN,#N/A N/A,Universal Health Services Inc
ULTA UW,#N/A N/A,Ulta Beauty Inc
UNH UN,#N/A N/A,UnitedHealth Group Inc
UNM UN,#N/A N/A,Unum Group
UNP UN,48.0620155,Union Pacific Corp
UPS UN,#N/A N/A,United Parcel Service Inc
URI UN,#N/A N/A,United Rentals Inc
USB UN,#N/A N/A,US Bancorp
V UN,#N/A N/A,Visa Inc
VAR UN,#N/A N/A,Varian Medical Systems Inc
VFC UN,#N/A N/A,VF Corp
VIAC UW,#N/A N/A,ViacomCBS Inc
VLO UN,#N/A N/A,Valero Energy Corp
VMC UN,#N/A N/A,Vulcan Materials Co
VNO UN,#N/A N/A,Vornado Realty Trust
VRSK UW,#N/A N/A,Verisk Analytics Inc
VRSN UW,#N/A N/A,VeriSign Inc
VRTX UW,#N/A N/A,Vertex Pharmaceuticals Inc
VTR UN,#N/A N/A,Ventas Inc
VZ UN,#N/A N/A,Verizon Communications Inc
WAB UN,#N/A N/A,Westinghouse Air Brake Technologies Corp
WAT UN,#N/A N/A,Waters Corp
WBA UW,42.70833333,Walgreens Boots Alliance Inc
WDC UW,#N/A N/A,Western Digital Corp
WEC UN,#N/A N/A,WEC Energy Group Inc
WELL UN,#N/A N/A,Welltower Inc
WFC UN,#N/A N/A,Wells Fargo & Co
WHR UN,#N/A N/A,Whirlpool Corp
WLTW UW,#N/A N/A,Willis Towers Watson PLC
WM UN,#N/A N/A,Waste Management Inc
WMB UN,#N/A N/A,Williams Cos Inc/The
WMT UN,#N/A N/A,Walmart Inc
WRB UN,#N/A N/A,W R Berkley Corp
WRK UN,17.05426357,Westrock Co
WST UN,#N/A N/A,West Pharmaceutical Services Inc
WU UN,#N/A N/A,Western Union Co/The
WY UN,#N/A N/A,Weyerhaeuser Co
WYNN UW,#N/A N/A,Wynn Resorts Ltd
XEL UW,#N/A N/A,Xcel Energy Inc
XLNX UW,32.55813953,Xilinx Inc
XOM UN,#N/A N/A,Exxon Mobil Corp
XRAY UW,#N/A N/A,DENTSPLY SIRONA Inc
XRX UN,#N/A N/A,Xerox Holdings Corp
XYL UN,#N/A N/A,Xylem Inc/NY
YUM UN,#N/A N/A,Yum! Brands Inc
ZBH UN,#N/A N/A,Zimmer Biomet Holdings Inc
ZBRA UW,1.550387597,Zebra Technologies Corp
ZION UW,7.142857143,Zions Bancorp NA
ZTS UN,#N/A N/A,Zoetis Inc
1COV GY,55.81395349,Covestro AG
A2A IM,#N/A N/A,A2A SpA
AAK SS,#N/A N/A,AAK AB
AAL LN,39.53488372,Anglo American PLC
AALB NA,33.33333333,Aalberts NV
ABBN SE,57.36434109,ABB Ltd
ABF LN,48.0620155,Associated British Foods PLC
ABI BB,#N/A N/A,Anheuser-Busch InBev SA/NV
ABN NA,#N/A N/A,ABN AMRO Bank NV
AC FP,34.88372093,Accor SA
ACA FP,49.10714286,Credit Agricole SA
ACKB BB,17.85714286,Ackermans & van Haaren NV
ACS SQ,#N/A N/A,ACS Actividades de Construccion y Servicios SA
AD NA,36.43410853,Koninklijke Ahold Delhaize NV
ADEN SE,#N/A N/A,Adecco Group AG
ADM LN,27.67857143,Admiral Group PLC
ADP FP,#N/A N/A,Aeroports de Paris
ADS GY,34.88372093,adidas AG
ADYEN NA,13.95348837,Adyen NV
AED BB,#N/A N/A,Aedifica SA
AENA SQ,#N/A N/A,Aena SME SA
AFX GY,13.17829457,Carl Zeiss Meditec AG
AGK LN,17.82945736,Aggreko PLC
AGN NA,41.07142857,Aegon NV
AGS BB,2.678571429,Ageas SA/NV
AHT LN,16.27906977,Ashtead Group PLC
AI FP,43.41085271,Air Liquide SA
AIR FP,#N/A N/A,Airbus SE
AKE FP,62.01550388,Arkema SA
AKERBP NO,48.8372093,Aker BP ASA
AKZA NA,39.53488372,Akzo Nobel NV
ALC SE,#N/A N/A,Alcon Inc
ALFA SS,#N/A N/A,Alfa Laval AB
ALLN SE,16.27906977,Allreal Holding AG
ALO FP,44.96124031,Alstom SA
ALV GY,#N/A N/A,Allianz SE
AM FP,37.98449612,Dassault Aviation SA
AMBUB DC,24.80620155,Ambu A/S
AMP IM,46.875,Amplifon SpA
AMS SE,17.05426357,ams AG
AMS SQ,#N/A N/A,Amadeus IT Group SA
AMUN FP,36.60714286,Amundi SA
ANA SQ,#N/A N/A,Acciona SA
ANDR AV,41.86046512,ANDRITZ AG
ANTO LN,#N/A N/A,Antofagasta PLC
AOX GY,#N/A N/A,alstria office REIT-AG
ARGX BB,#N/A N/A,Argenx SE
ASHM LN,16.27906977,Ashmore Group PLC
ASM NA,23.25581395,ASM International NV
ASML NA,#N/A N/A,ASML Holding NV
ASRNL NA,49.10714286,ASR Nederland NV
ASSAB SS,56.58914729,Assa Abloy AB
AT1 GY,33.33333333,Aroundtown SA
ATC NA,46.51162791,Altice Europe NV
ATCOA SS,34.10852713,Atlas Copco AB
ATE FP,27.13178295,Alten SA
ATL IM,50.3875969,Atlantia SpA
ATO FP,37.20930233,Atos SE
AUTO LN,13.95348837,Auto Trader Group PLC
AV/ LN,#N/A N/A,Aviva PLC
AVST LN,13.95348837,Avast PLC
AVV LN,17.82945736,AVEVA Group PLC
AZN LN,45.73643411,AstraZeneca PLC
B4B GY,48.95833333,METRO AG
BA/ LN,#N/A N/A,BAE Systems PLC
BAER SE,#N/A N/A,Julius Baer Group Ltd
BAKKA NO,42.63565891,Bakkafrost P/F
BALDB SS,18.60465116,Fastighets AB Balder
BALN SE,#N/A N/A,Baloise Holding AG
BAMI IM,#N/A N/A,Banco BPM SpA
BARC LN,#N/A N/A,Barclays PLC
BARN SE,24.03100775,Barry Callebaut AG
BAS GY,68.99224806,BASF SE
BATS LN,#N/A N/A,British American Tobacco PLC
BAYN GY,#N/A N/A,Bayer AG
BBOX LN,20.15503876,Tritax Big Box REIT PLC
BBVA SQ,#N/A N/A,Banco Bilbao Vizcaya Argentaria SA
